t	cx	cy	cx_gray	cy_gray	d_gray	cx_green	cy_green	d_green	d_green2	A	A_gray	A_green	FR	RR	height	width	aspect_ratio	sf	ID
1	57.6173	1507.95	57.8137	1509.89	1.95022	57.4762	1506.56	1.40165	11.8826	1155	483	672	0.581818	0	41.5206	35.7302	0.860542	0.00575474	1
1	68.9518	1804.56	69.1425	1805.98	1.42844	68.762	1803.15	1.42154	10.7323	830	414	416	0.501205	0	41.5011	27.6968	0.667375	0.00545694	2
1	104.441	85.7123	106.148	86.9039	2.08196	102.987	84.6981	1.77207	11.467	883	406	477	0.540204	0	45.1625	26.3914	0.584365	0.00592633	3
1	212.354	103.942	212.476	105.47	1.53229	212.204	102.058	1.88981	7.69626	536	296	240	0.447761	0	34.0538	20.0351	0.588338	0.0061176	4
1	268.032	1084.81	269.775	1085.73	1.97309	266.681	1084.09	1.52824	11.8422	1102	481	621	0.563521	0	43.1726	35.189	0.815079	0.00579707	5
1	288.757	1004.26	289.065	1005.54	1.31899	288.396	1002.76	1.54347	8.91001	625	337	288	0.4608	0	38.8063	20.1901	0.520279	0.00618053	6
1	321.289	596.3	326.616	596.622	5.33685	317.988	596.1	3.30721	14.6714	954	365	589	0.6174	0	56.2414	23.7716	0.422671	0.00475327	7
1	310.894	730.508	312.745	729.857	1.96274	309.217	731.098	1.77745	8.44506	545	259	286	0.524771	0	36.0445	19.8889	0.551788	0.00552761	8
1	579.978	134.69	582.683	135.5	2.82363	578.397	134.217	1.65086	11.7182	1095	404	691	0.63105	0	46.9141	34.095	0.726755	0.00522015	9
1	600.238	1392.02	600.238	1392.02	0	600.238	1392.02	0	4.65252	143	0	143	1	0	15.6277	10.7809	0.689858	0.00670858	10
1	898.291	1397.91	900.431	1402.6	5.15382	897.538	1396.26	1.81456	14.0704	1033	269	764	0.739593	0	61.7957	22.4703	0.363622	0.004132	11
1	975.068	581.2	973.969	581.36	1.11085	975.87	581.083	0.810043	12.7369	1060	447	613	0.578302	0	53.3791	28.5919	0.535639	0.00463927	12
1	1130.97	255.962	1132.19	257.827	2.22586	1129.74	254.077	2.24852	11.9816	987	496	491	0.497467	0.220871	47.3183	33.5947	0.709973	0.00421334	13
1	1154.44	665.591	1157.04	666.815	2.8745	1153.36	665.08	1.19876	20.8295	1947	573	1374	0.705701	0	81.3629	44.2732	0.544145	0.00311969	14
1	1205.9	1277.19	1206.25	1277.1	0.358238	1205.71	1277.23	0.190813	10.9751	771	268	503	0.652399	0	54.5229	18.2526	0.334769	0.0042485	15
1	1251.35	1596.1	1251.52	1597.19	1.11036	1251.22	1595.28	0.830964	12.4468	1119	479	640	0.571939	0	43.7369	34.6383	0.79197	0.00567628	16
1	1326.03	1184.23	1325.8	1184.18	0.230542	1326.39	1184.31	0.371043	3.90884	274	169	105	0.383212	0	20.664	15.8674	0.767879	0.00728026	17
1	1347.67	1262.44	1347.72	1262.43	0.0479096	1347.63	1262.44	0.0458211	5.233	372	182	190	0.510753	0	28.6946	16.0905	0.560748	0.00576601	18
1	1425.97	684.749	1425.97	684.749	0	1425.97	684.749	0	5.94457	239	0	239	1	0	19.6492	14.0378	0.714423	0.00771565	19
1	1447.43	1458.65	1447.01	1458.36	0.512625	1447.7	1458.83	0.325318	4.89963	273	106	167	0.611722	0	21.2498	15.356	0.722644	0.006825	20
1	1472.61	959.538	1472.37	959.379	0.290394	1472.77	959.643	0.190887	9.52632	585	232	353	0.603419	0	46.5263	16.5121	0.354899	0.00500154	21
1	1500.46	676.548	1499.7	677.94	1.58723	1500.82	675.895	0.745651	14.6095	1311	419	892	0.680397	0	62.3316	28.746	0.461179	0.00446277	22
1	1545.72	248.846	1545.72	248.846	0	1545.72	248.846	0	5.20949	130	0	130	1	0.00769231	21.3309	7.70647	0.361282	0.00507813	23
1	1562.67	969.675	1562.25	969.12	0.696446	1563.08	970.219	0.682993	10.5389	723	358	365	0.504841	0	44.1566	20.6451	0.467542	0.00576941	24
1	1555.75	828.917	1555.75	828.917	0	1555.75	828.917	0	3.12309	60	0	60	1	0	10.8449	6.41125	0.591175	0.00708885	25
1	1620.93	1732.27	1622.27	1732.26	1.34463	1620	1732.27	0.928849	11.2657	886	362	524	0.591422	0	49.5878	25.8822	0.521946	0.00483667	26
1	1645.52	113.789	1647.28	114.033	1.77931	1644.6	113.661	0.932541	12.9314	1137	391	746	0.656113	0	51.1505	32.2527	0.630546	0.00497628	27
1	1817.13	1361.02	1813.07	1364.24	5.18242	1820.1	1358.66	3.79322	13.1614	1512	639	873	0.577381	0	50.1176	43.9546	0.877029	0.00462125	28
1	1836.33	1276.41	1835.38	1274.75	1.91499	1836.8	1277.22	0.938166	11.7637	1028	338	690	0.671206	0	42.9407	36.7283	0.855327	0.00535852	29
2	54.1993	1501.31	53.4421	1502.11	1.09937	54.7236	1500.76	0.761154	11.8598	1139	466	673	0.590869	0	41.2198	34.9845	0.848729	0.00639586	30
